country,suicides_no
Argentina,18326
Australia,15326
Austria,13195
Belarus,10002
Belgium,18012
Brazil,49015
Bulgaria,9968
Canada,24184
Chile,6834
Colombia,11343
Cuba,11675
Czech Republic,9247
Denmark,4329
Ecuador,6238
Finland,7660
France,89419
Germany,79707
Hungary,18115
Italy,32881
Japan,251630
Kazakhstan,18160
Kyrgyzstan,2637
Latvia,2474
Lithuania,5011
Mexico,19334
Netherlands,16886
New Zealand,3355
Norway,4685
Philippines,5273
Poland,21063
Portugal,5874
Puerto Rico,1054
Republic of Korea,82615
Romania,13182
Russian Federation,214330
Spain,24669
Sri Lanka,13598
Sweden,11183
Switzerland,7739
Thailand,28101
Ukraine,61377
United Kingdom,32687
United States,213797
Uruguay,2820
