country,suicides_no
Argentina,63691
Australia,54718
Austria,36726
Belarus,49161
Belgium,44535
Brazil,177469
Bulgaria,26202
Canada,83266
Chile,34027
Colombia,41716
Cuba,29516
Czech Republic,34242
Denmark,10879
Ecuador,14414
Finland,25960
France,238186
Germany,210039
Hungary,55443
Italy,98637
Japan,553932
Kazakhstan,83304
Kyrgyzstan,10439
Latvia,10057
Lithuania,22396
Mexico,91761
Netherlands,33841
New Zealand,11010
Norway,12170
Philippines,16051
Poland,116365
Portugal,18098
Puerto Rico,7964
Republic of Korea,179073
Romania,59457
Russian Federation,994019
Spain,75228
Sri Lanka,41899
Sweden,26488
Switzerland,18332
Thailand,82089
Ukraine,258067
United Kingdom,103854
United States,818039
Uruguay,10281
