country,year,sex,suicides_no,population,gdp_for_year ($),gdp_per_capita ($)
Argentina,1985,male,763,11039900,"110,934,442,763",4072
Argentina,1985,female,538,11039900,"110,934,442,763",4072
Argentina,1986,male,2176,24150600,"111,106,191,358",4026
Argentina,1986,female,1179,24150600,"111,106,191,358",4026
Argentina,1987,male,3576,37432300,"126,206,817,196",4458
Argentina,1987,female,1865,37432300,"126,206,817,196",4458
Argentina,1988,male,5049,51024300,"76,636,898,036",2670
Argentina,1988,female,2530,51024300,"76,636,898,036",2670
Argentina,1989,male,6482,64797300,"141,352,368,715",4859
Argentina,1989,female,3136,64797300,"141,352,368,715",4859
Argentina,1990,male,7801,78745300,"189,719,984,268",6404
Argentina,1990,female,3731,78745300,"189,719,984,268",6404
Argentina,1991,male,9069,92839300,"228,788,617,202",7615
Argentina,1991,female,4230,92839300,"228,788,617,202",7615
Argentina,1992,male,10555,107118500,"236,741,715,015",7768
Argentina,1992,female,4734,107118500,"236,741,715,015",7768
Argentina,1993,male,12063,121598400,"257,440,000,000",8328
Argentina,1993,female,5227,121598400,"257,440,000,000",8328
Argentina,1994,male,13602,136279700,"258,031,750,000",8232
Argentina,1994,female,5737,136279700,"258,031,750,000",8232
Argentina,1995,male,15112,151161800,"272,149,750,000",8563
Argentina,1995,female,6241,151161800,"272,149,750,000",8563
Argentina,1996,male,16620,166243900,"292,859,000,000",9057
Argentina,1996,female,6773,166243900,"292,859,000,000",9057
Argentina,1997,male,18070,181518794,"298,948,250,000",9126
Argentina,1997,female,7312,181518794,"298,948,250,000",9126
Argentina,1998,male,19690,196982693,"283,523,000,000",8546
Argentina,1998,female,7838,196982693,"283,523,000,000",8546
Argentina,1999,male,21416,212635457,"284,203,750,000",8462
Argentina,1999,female,8331,212635457,"284,203,750,000",8462
Argentina,2000,male,23408,228476484,"268,696,750,000",7900
Argentina,2000,female,8881,228476484,"268,696,750,000",7900
Argentina,2001,male,25614,244501659,"97,724,004,252",2840
Argentina,2001,female,9557,244501659,"97,724,004,252",2840
Argentina,2002,male,27839,260700218,"127,586,973,492",3668
Argentina,2002,female,10260,260700218,"127,586,973,492",3668
Argentina,2003,male,30172,277066894,"164,657,930,453",4683
Argentina,2003,female,10944,277066894,"164,657,930,453",4683
Argentina,2004,male,32412,293605031,"198,737,095,012",5590
Argentina,2004,female,11598,293605031,"198,737,095,012",5590
Argentina,2005,male,34581,310323873,"232,557,260,817",6475
Argentina,2005,female,12262,310323873,"232,557,260,817",6475
Argentina,2006,male,36831,327202099,"287,530,508,431",7918
Argentina,2006,female,12874,327202099,"287,530,508,431",7918
Argentina,2007,male,38952,344258341,"361,558,037,110",9843
Argentina,2007,female,13474,344258341,"361,558,037,110",9843
Argentina,2008,male,41192,361507644,"332,976,484,578",8961
Argentina,2008,female,14085,361507644,"332,976,484,578",8961
Argentina,2009,male,43315,378957454,"423,627,422,092",11273
Argentina,2009,female,14669,378957454,"423,627,422,092",11273
Argentina,2010,male,45486,396609578,"530,163,281,575",13946
Argentina,2010,female,15235,396609578,"530,163,281,575",13946
Argentina,2011,male,47637,414459007,"545,982,375,701",14203
Argentina,2011,female,15818,414459007,"545,982,375,701",14203
Argentina,2012,male,50032,432504157,"552,025,140,252",14206
Argentina,2012,female,16446,432504157,"552,025,140,252",14206
Argentina,2013,male,52262,450744196,"526,319,673,732",13400
Argentina,2013,female,17035,450744196,"526,319,673,732",13400
Argentina,2014,male,54614,469182048,"594,749,285,413",14981
Argentina,2014,female,17722,469182048,"594,749,285,413",14981
Argentina,2015,male,56838,487822852,"180,190,994,861",12374
Argentina,2015,female,18326,487822852,"180,190,994,861",12374
Australia,1985,male,1012,493553452,"181,977,476,217",12288
Australia,1985,female,425,493553452,"181,977,476,217",12288
Australia,1986,male,2504,500700852,"189,041,159,344",12564
Australia,1986,female,888,500700852,"189,041,159,344",12564
Australia,1987,male,4120,507953552,"235,699,941,793",15393
Australia,1987,female,1325,507953552,"235,699,941,793",15393
Australia,1988,male,5739,515326952,"299,317,645,143",19223
Australia,1988,female,1785,515326952,"299,317,645,143",19223
Australia,1989,male,7290,522810552,"310,838,014,621",19665
Australia,1989,female,2209,522810552,"310,838,014,621",19665
Australia,1990,male,8961,530399752,"325,358,292,128",20320
Australia,1990,female,2653,530399752,"325,358,292,128",20320
Australia,1991,male,10653,538075152,"324,878,105,053",20050
Australia,1991,female,3135,538075152,"324,878,105,053",20050
Australia,1992,male,12352,545831452,"311,528,948,848",19030
Australia,1992,female,3600,545831452,"311,528,948,848",19030
Australia,1993,male,13897,553659452,"322,201,314,424",19469
Australia,1993,female,3998,553659452,"322,201,314,424",19469
Australia,1994,male,15662,561567052,"367,216,364,716",21902
Australia,1994,female,4416,561567052,"367,216,364,716",21902
Australia,1995,male,16933,568470252,"400,302,731,411",23526
Australia,1995,female,4875,568470252,"400,302,731,411",23526
Australia,1996,male,18777,576566852,"434,568,007,513",25234
Australia,1996,female,5335,576566852,"434,568,007,513",25234
Australia,1997,male,20337,583667877,"398,899,138,574",22897
Australia,1997,female,5892,583667877,"398,899,138,574",22897
Australia,1998,male,21866,590866294,"388,395,162,301",22016
Australia,1998,female,6416,590866294,"388,395,162,301",22016
Australia,1999,male,23354,598172300,"415,034,227,218",23219
Australia,1999,female,6905,598172300,"415,034,227,218",23219
Australia,2000,male,24774,605591061,"378,215,090,694",20860
Australia,2000,female,7410,605591061,"378,215,090,694",20860
Australia,2001,male,26221,613136385,"394,486,709,920",21474
Australia,2001,female,7932,613136385,"394,486,709,920",21474
Australia,2002,male,27582,620804797,"466,294,700,058",25059
Australia,2002,female,8438,620804797,"466,294,700,058",25059
Australia,2003,male,28873,628592357,"611,904,253,806",32454
Australia,2003,female,8909,628592357,"611,904,253,806",32454
Australia,2004,male,30159,636494238,"745,521,862,833",39014
Australia,2004,female,9351,636494238,"745,521,862,833",39014
Australia,2006,male,31096,643067597,"851,962,785,585",43171
Australia,2006,female,9845,643067597,"851,962,785,585",43171
Australia,2007,male,32454,651385624,"1,052,584,601,611",52315
Australia,2007,female,10375,651385624,"1,052,584,601,611",52315
Australia,2008,male,33522,658358373,"926,448,240,318",45128
Australia,2008,female,10883,658358373,"926,448,240,318",45128
Australia,2009,male,34552,665506883,"1,144,260,547,873",54887
Australia,2009,female,11435,665506883,"1,144,260,547,873",54887
Australia,2010,male,35603,672786321,"1,394,280,784,778",66770
Australia,2010,female,11988,672786321,"1,394,280,784,778",66770
Australia,2011,male,37269,682567975,"1,543,411,012,580",72669
Australia,2011,female,12568,682567975,"1,543,411,012,580",72669
Australia,2012,male,39041,692509401,"1,573,696,522,007",72856
Australia,2012,female,13218,692509401,"1,573,696,522,007",72856
Australia,2013,male,40825,702608338,"1,464,955,475,994",66809
Australia,2013,female,13882,702608338,"1,464,955,475,994",66809
Australia,2014,male,42141,710359034,"1,349,034,029,453",60656
Australia,2014,female,14591,710359034,"1,349,034,029,453",60656
Australia,2015,male,43489,718249008,"69,386,774,475",9759
Australia,2015,female,15326,718249008,"69,386,774,475",9759
Austria,1985,male,960,720867119,"99,036,165,210",13911
Austria,1985,female,624,720867119,"99,036,165,210",13911
Austria,1986,male,2298,724076411,"124,168,442,860",17415
Austria,1986,female,1252,724076411,"124,168,442,860",17415
Austria,1987,male,3535,727292759,"133,339,397,080",18663
Austria,1987,female,1876,727292759,"133,339,397,080",18663
Austria,1988,male,4674,730518040,"133,105,805,928",18544
Austria,1988,female,2405,730518040,"133,105,805,928",18544
Austria,1989,male,5821,733763804,"166,463,386,663",23020
Austria,1989,female,2990,733763804,"166,463,386,663",23020
Austria,1990,male,6919,737044878,"173,794,177,725",23808
Austria,1990,female,3531,737044878,"173,794,177,725",23808
Austria,1991,male,8009,740372349,"195,078,126,346",26450
Austria,1991,female,4001,740372349,"195,078,126,346",26450
Austria,1992,male,9112,743749379,"190,379,720,927",25611
Austria,1992,female,4478,743749379,"190,379,720,927",25611
Austria,1993,male,10156,747166197,"203,535,242,742",27274
Austria,1993,female,4938,747166197,"203,535,242,742",27274
Austria,1994,male,11267,750604049,"241,038,283,063",32237
Austria,1994,female,5429,750604049,"241,038,283,063",32237
Austria,1995,male,12416,754049304,"237,250,948,791",31660
Austria,1995,female,5884,754049304,"237,250,948,791",31660
